"CandidateId","ProductionName","Role","Provider","ProviderId","Author","SourcePage","License","SearchQuery","UsageNote","SHA256"
"C005","home-practice-operations.jpg","home-practice-operations","Pexels","4269275","Cedric Fauntleroy","https://www.pexels.com/photo/a-receptionist-looking-at-a-tablet-4269275/","https://www.pexels.com/license/","medical office administration","ROOT commercial website imagery.","B66F255D53E333937D52C7395464F238E7E5F124126ACAE60B1352DE162F71F8"
"C007","practice-operations-workstation.jpg","practice-operations-workstation","Pexels","6129037","RDNE Stock project","https://www.pexels.com/photo/a-nurse-typing-on-a-keyboard-while-sitting-6129037/","https://www.pexels.com/license/","medical office administration","ROOT commercial website imagery.","747CD5889651A69740397BFE13918A141C92BD890FC81A975770569D4A3BA0C7"
"C011","credentialing-payer-documentation.jpg","credentialing-payer-documentation","Pexels","6627938","https://kaboompics.com/","https://www.pexels.com/photo/a-man-sitting-at-the-table-6627938/","https://www.pexels.com/license/","medical office administration","ROOT commercial website imagery.","059AFD35853DE5720EBA0FEB0D1E0CEA114796C2FA80DBD1D948301139DB7412"
"C037","rcm-billing-financial-operations.jpg","rcm-billing-financial-operations","Pixabay","615384","Firmbee","https://pixabay.com/photos/bookkeeping-accounting-taxes-615384/","https://pixabay.com/service/license-summary/","medical billing office","ROOT commercial website imagery.","50766984454A070409D410946CFE5F78FAB3A5641A54E3FCB437F8B8FC99804B"
"C021","claims-ar-administration.jpg","claims-ar-administration","Pixabay","1016310","cloudhoreca","https://pixabay.com/photos/stapler-pen-paperwork-invoice-1016310/","https://pixabay.com/service/license-summary/","medical office administration","ROOT commercial website imagery.","6C5F8410586789B30D27382D648AD2C1BA07BADC293F1FA2A08900FCB46133A5"
"C022","healthcare-it-workstation.jpg","healthcare-it-workstation","Pixabay","1149148","Free-Photos","https://pixabay.com/photos/computer-business-typing-keyboard-1149148/","https://pixabay.com/service/license-summary/","medical office administration","ROOT commercial website imagery.","676C9CE1B4F8133AFF38CCA63AE815BA1E6B1A50369F94F6FEF98702AFD867B9"
"C023","dirt-analytics-illustrative.jpg","dirt-analytics-illustrative","Pixabay","1433427","AS_Photography","https://pixabay.com/photos/digital-marketing-technology-1433427/","https://pixabay.com/service/license-summary/","healthcare analytics technology","Illustrative analytics imagery only; not a ROOT/DIRT product screenshot.","5D79AFE857D5E98D028775E5B85AB004DFA465850D9DC5C8B263A60F9A8C7D40"
"C006","healthcare-operations-collaboration.jpg","healthcare-operations-collaboration","Pexels","5452233","Tima Miroshnichenko","https://www.pexels.com/photo/doctors-working-together-on-a-research-5452233/","https://www.pexels.com/license/","healthcare team meeting","ROOT commercial website imagery.","4DBAA4B91B81371A2AB8EEEBEAA44ED2EA1106B174EFFB091D7F6F242A0CCAF8"
"C034","management-consulting-workshop.jpg","management-consulting-workshop","Pixabay","5382501","RonaldCandonga","https://pixabay.com/photos/job-office-team-business-internet-5382501/","https://pixabay.com/service/license-summary/","healthcare team meeting","ROOT commercial website imagery.","C4B1FA9E81619AB9E37DF002D6ACBFFD2347322A538DD2878AF1882D82C864DD"
"C036","workflow-automation-collaboration.jpg","workflow-automation-collaboration","Pixabay","593296","StartupStockPhotos","https://pixabay.com/photos/laptops-meeting-businessmen-593296/","https://pixabay.com/service/license-summary/","healthcare team meeting","ROOT commercial website imagery.","0DB1D9CA5079BCD014BED6265D473D981B1DAC1EAE676F8A832A3387ABE75469"
